+------------------------------------------+-------+------------------------------------------+---------+------------+
|                antecedent                |  ==>  |                consequent                | support | confidence |
+------------------------------------------+-------+------------------------------------------+---------+------------+
|        ['HAND WARMER UNION JACK']        |  ==>  |      [' HAND WARMER RED POLKA DOT']      |   0.2   |    1.0     |
|      [' HAND WARMER RED POLKA DOT']      |  ==>  |        ['HAND WARMER UNION JACK']        |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE BEDROOM"]      |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |      [" POPPY'S PLAYHOUSE BEDROOM"]      |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |     [' RECIPE BOX WITH METAL HEART']     |   0.2   |    1.0     |
|     [' RECIPE BOX WITH METAL HEART']     |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  | [' BOX OF 6 ASSORTED COLOUR TEASPOONS']  |   0.2   |    1.0     |
| [' BOX OF 6 ASSORTED COLOUR TEASPOONS']  |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |  [' FELTCRAFT PRINCESS CHARLOTTE DOLL']  |   0.2   |    1.0     |
|      [' LOVE BUILDING BLOCK WORD']       |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |      [' LOVE BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|    ['ASSORTED COLOUR BIRD ORNAMENT']     |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |    ['ASSORTED COLOUR BIRD ORNAMENT']     |   0.2   |    1.0     |
|   [' BOX OF VINTAGE ALPHABET BLOCKS']    |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |   [' BOX OF VINTAGE ALPHABET BLOCKS']    |   0.2   |    1.0     |
|         [' DOORMAT NEW ENGLAND']         |  ==>  |    [' BOX OF VINTAGE JIGSAW BLOCKS']     |   0.2   |    1.0     |
|    [' BOX OF VINTAGE JIGSAW BLOCKS']     |  ==>  |         [' DOORMAT NEW ENGLAND']         |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE KITCHEN"]      |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |      [" POPPY'S PLAYHOUSE KITCHEN"]      |   0.2   |    1.0     |
|       [' IVORY KNITTED MUG COSY']        |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |       [' IVORY KNITTED MUG COSY']        |   0.2   |    1.0     |
|      [" POPPY'S PLAYHOUSE BEDROOM"]      |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |      [" POPPY'S PLAYHOUSE BEDROOM"]      |   0.2   |    1.0     |
|     [' RECIPE BOX WITH METAL HEART']     |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
|      [' HOME BUILDING BLOCK WORD']       |  ==>  |     [' RECIPE BOX WITH METAL HEART']     |   0.2   |    1.0     |
| [' BOX OF 6 ASSORTED COLOUR TEASPOONS']  |  ==>  |      [' HOME BUILDING BLOCK WORD']       |   0.2   |    1.0     |
